method_key,method,alpha,target_cov,domain,coverage_overall,coverage_class0,coverage_class1,pct_empty,pct_single,pct_two,cond_corr_cov_vs_var,cond_mean_abs_dev_from_target,qhat
vanilla,Vanilla,0.1,0.9,2021_test,0.899556,0.8797700981872325,0.9178349156879154,0.061317,0.938683,0.0,-0.8859770688930584,0.129456,0.3169069290161133
vanilla,Vanilla,0.1,0.9,2022_OOD,0.86,0.9144295302013423,0.7797029702970297,0.073,0.927,0.0,-0.868388037926434,0.12,0.3169069290161133
normalized_l2,Linear (λ=3),0.1,0.9,2021_test,0.899719,0.8813548380379213,0.9166844621437298,0.060447,0.938338,0.001215,-0.8051069710401091,0.129115,0.23324355483055115
normalized_l2,Linear (λ=3),0.1,0.9,2022_OOD,0.901,0.9429530201342282,0.8391089108910891,0.025,0.938,0.037,-0.3519751943746775,0.07899999999999999,0.23324355483055115
heteroskedastic,Nonparametric,0.1,0.9,2021_test,0.899601,0.8811507585302111,0.9166459854365664,0.044978,0.944849,0.010173,-0.6629028634122373,0.07020099999999999,1.5114592220865741
heteroskedastic,Nonparametric,0.1,0.9,2022_OOD,0.906,0.9463087248322147,0.8465346534653465,0.008,0.964,0.028,-0.7119986484846397,0.059999999999999984,1.5114592220865741
vanilla,Vanilla,0.05,0.95,2021_test,0.949793,0.9350714798887975,0.9633932608047403,0.0,0.967953,0.032047,-0.7461054767932095,0.05938700000000002,0.6008173823356628
vanilla,Vanilla,0.05,0.95,2022_OOD,0.919,0.9513422818791947,0.8712871287128713,0.0,0.959,0.041,-0.7247645309767706,0.05899999999999998,0.6008173823356628
normalized_l2,Linear (λ=3),0.05,0.95,2021_test,0.949924,0.9352818067283765,0.9634509758654854,0.001156,0.958594,0.04025,-0.5318626131544903,0.05918000000000001,0.4413086771965027
normalized_l2,Linear (λ=3),0.05,0.95,2022_OOD,0.952,0.9697986577181208,0.9257425742574258,0.0,0.805,0.195,0.2704875654603915,0.044000000000000004,0.4413086771965027
heteroskedastic,Nonparametric,0.05,0.95,2021_test,0.950116,0.9360502285482242,0.9631104570070893,0.014956,0.911092,0.073952,-0.14182658955213578,0.037447999999999995,2.1470496920465805
heteroskedastic,Nonparametric,0.05,0.95,2022_OOD,0.944,0.964765100671141,0.9133663366336634,0.004,0.87,0.126,0.06813598229767674,0.031999999999999994,2.1470496920465805
vanilla,Vanilla,0.025,0.975,2021_test,0.975085,0.9666475775970679,0.9828797891476447,0.0,0.888457,0.111543,-0.29219406686209115,0.025031000000000005,0.7936462163925171
vanilla,Vanilla,0.025,0.975,2022_OOD,0.949,0.964765100671141,0.9257425742574258,0.0,0.872,0.128,-0.21994212214638711,0.03299999999999999,0.7936462163925171
normalized_l2,Linear (λ=3),0.025,0.975,2021_test,0.975104,0.9661852750387855,0.9833434334689637,0.0,0.880108,0.119892,0.04496901696896662,0.027602000000000005,0.6610326766967773
normalized_l2,Linear (λ=3),0.025,0.975,2022_OOD,0.967,0.9832214765100671,0.943069306930693,0.0,0.708,0.292,0.3904162547046684,0.028000000000000004,0.6610326766967773
heteroskedastic,Nonparametric,0.025,0.975,2021_test,0.97509,0.9663331285596777,0.9831799074635192,0.005107,0.842174,0.152719,0.2452719704087872,0.021709999999999997,2.973893148377678
heteroskedastic,Nonparametric,0.025,0.975,2022_OOD,0.972,0.9848993288590604,0.9529702970297029,0.003,0.654,0.343,0.5410688957465403,0.02200000000000001,2.973893148377678
